Timestamp (YYYY-MM-DD HH:MM:SS),Task,Tool,Execution Time (ms),Result Count,Heap Total (MB),Heap Peak (MB),Stack Peak (MB)
19-11-2023 @17:49:13,basic_union,Rulewerk,757.92,15,36.28,15.24,0.07
19-11-2023 @17:49:13,basic_union,Nemo,17.82,15,2.38,0.13,0.03
19-11-2023 @17:49:29,basic_join,Rulewerk,908.47,8,37.85,15.2,0.07
19-11-2023 @17:49:29,basic_join,Nemo,24.12,8,2.71,0.12,0.03
19-11-2023 @17:49:42,basic_projection,Rulewerk,815.01,19,33.11,15.03,0.07
19-11-2023 @17:49:42,basic_projection,Nemo,16.71,19,1.69,0.12,0.03
19-11-2023 @17:49:57,load_multiple,Rulewerk,875.63,11,39.16,14.55,0.07
19-11-2023 @17:49:57,load_multiple,Nemo,47.58,11,1.75,0.12,0.03
19-11-2023 @17:50:13,repeated_variables,Rulewerk,810.73,8,37.88,15.27,0.07
19-11-2023 @17:50:13,repeated_variables,Nemo,25.31,8,3.16,0.14,0.03
19-11-2023 @17:50:30,symmetric_transitive_closure,Rulewerk,785.06,57,37.22,15.18,0.07
19-11-2023 @17:50:30,symmetric_transitive_closure,Nemo,18.09,57,2.37,0.12,0.03
19-11-2023 @17:50:46,all_basics,Rulewerk,4411.6,118,220.54,91.12,0.41
19-11-2023 @17:50:46,all_basics,Nemo,162.37,118,14.07,0.74,0.17
