X3,X4,<__Null#9223372036854831019>,<__Null#9223372036854831023>
X2,<__Null#9223372036854825410>,<__Null#9223372036854825414>,<__Null#9223372036854825406>
X1,X2,X7,X8
X1,<__Null#9223372036854775885>,<__Null#9223372036854775887>,<__Null#9223372036854775886>
X1,<__Null#9223372036854778007>,<__Null#9223372036854778006>,X8
X0,<__Null#9223372036854781136>,<__Null#9223372036854781132>,<__Null#9223372036854781133>
X0,<__Null#9223372036854832032>,X5,<__Null#9223372036854832030>
<__Null#9223372036854800992>,X2,<__Null#9223372036854800982>,<__Null#9223372036854800984>
<__Null#9223372036854806444>,<__Null#9223372036854806439>,<__Null#9223372036854806446>,<__Null#9223372036854806441>
<__Null#9223372036854811357>,<__Null#9223372036854811353>,<__Null#9223372036854811361>,X12
<__Null#9223372036854813762>,<__Null#9223372036854813763>,<__Null#9223372036854813765>,<__Null#9223372036854813764>
<__Null#9223372036854831162>,<__Null#9223372036854831164>,<__Null#9223372036854831161>,X12
<__Null#9223372036854831508>,<__Null#9223372036854831507>,<__Null#9223372036854831515>,<__Null#9223372036854831509>
<__Null#9223372036854833413>,<__Null#9223372036854833416>,X5,<__Null#9223372036854833418>
<__Null#9223372036854833417>,X3,<__Null#9223372036854833414>,<__Null#9223372036854833419>
