 - QueryResult [terms=[Bob, David]]
 - QueryResult [terms=[Bob, Anna]]
 - QueryResult [terms=[Anna, Richard]]
 - QueryResult [terms=[Richard, Lucy]]
 - QueryResult [terms=[Alice, Bob]]
 - QueryResult [terms=[Alice, Brenda]]
 - QueryResult [terms=[Josh, David]]
 - QueryResult [terms=[Josh, Paula]]
 - QueryResult [terms=[Bob, Richard]]
 - QueryResult [terms=[Bob, Lucy]]
 - QueryResult [terms=[Anna, Lucy]]
 - QueryResult [terms=[Alice, David]]
 - QueryResult [terms=[Alice, Anna]]
 - QueryResult [terms=[Alice, Richard]]
 - QueryResult [terms=[Alice, Lucy]]
