 - QueryResult [terms=[Bob, Bob]]
 - QueryResult [terms=[Bob, Alice]]
 - QueryResult [terms=[Bob, Josh]]
 - QueryResult [terms=[Bob, Brenda]]
 - QueryResult [terms=[Bob, Paula]]
 - QueryResult [terms=[David, Bob]]
 - QueryResult [terms=[David, David]]
 - QueryResult [terms=[David, Anna]]
 - QueryResult [terms=[David, Richard]]
 - QueryResult [terms=[David, Alice]]
 - QueryResult [terms=[David, Josh]]
 - QueryResult [terms=[David, Lucy]]
 - QueryResult [terms=[David, Brenda]]
 - QueryResult [terms=[David, Paula]]
 - QueryResult [terms=[Anna, Bob]]
 - QueryResult [terms=[Anna, David]]
 - QueryResult [terms=[Anna, Anna]]
 - QueryResult [terms=[Anna, Alice]]
 - QueryResult [terms=[Anna, Josh]]
 - QueryResult [terms=[Anna, Brenda]]
 - QueryResult [terms=[Anna, Paula]]
 - QueryResult [terms=[Richard, Bob]]
 - QueryResult [terms=[Richard, David]]
 - QueryResult [terms=[Richard, Anna]]
 - QueryResult [terms=[Richard, Richard]]
 - QueryResult [terms=[Richard, Alice]]
 - QueryResult [terms=[Richard, Josh]]
 - QueryResult [terms=[Richard, Brenda]]
 - QueryResult [terms=[Richard, Paula]]
 - QueryResult [terms=[Alice, Alice]]
 - QueryResult [terms=[Alice, Josh]]
 - QueryResult [terms=[Alice, Paula]]
 - QueryResult [terms=[Josh, Bob]]
 - QueryResult [terms=[Josh, Anna]]
 - QueryResult [terms=[Josh, Richard]]
 - QueryResult [terms=[Josh, Alice]]
 - QueryResult [terms=[Josh, Josh]]
 - QueryResult [terms=[Josh, Lucy]]
 - QueryResult [terms=[Josh, Brenda]]
 - QueryResult [terms=[Lucy, Bob]]
 - QueryResult [terms=[Lucy, David]]
 - QueryResult [terms=[Lucy, Anna]]
 - QueryResult [terms=[Lucy, Richard]]
 - QueryResult [terms=[Lucy, Alice]]
 - QueryResult [terms=[Lucy, Josh]]
 - QueryResult [terms=[Lucy, Lucy]]
 - QueryResult [terms=[Lucy, Brenda]]
 - QueryResult [terms=[Lucy, Paula]]
 - QueryResult [terms=[Brenda, Bob]]
 - QueryResult [terms=[Brenda, David]]
 - QueryResult [terms=[Brenda, Anna]]
 - QueryResult [terms=[Brenda, Richard]]
 - QueryResult [terms=[Brenda, Alice]]
 - QueryResult [terms=[Brenda, Josh]]
 - QueryResult [terms=[Brenda, Lucy]]
 - QueryResult [terms=[Brenda, Brenda]]
 - QueryResult [terms=[Brenda, Paula]]
 - QueryResult [terms=[Paula, Bob]]
 - QueryResult [terms=[Paula, David]]
 - QueryResult [terms=[Paula, Anna]]
 - QueryResult [terms=[Paula, Richard]]
 - QueryResult [terms=[Paula, Alice]]
 - QueryResult [terms=[Paula, Josh]]
 - QueryResult [terms=[Paula, Lucy]]
 - QueryResult [terms=[Paula, Brenda]]
 - QueryResult [terms=[Paula, Paula]]
