 - QueryResult [terms=[Bob, Bob]]
 - QueryResult [terms=[Bob, Anna]]
 - QueryResult [terms=[Bob, Richard]]
 - QueryResult [terms=[Bob, Alice]]
 - QueryResult [terms=[Bob, Josh]]
 - QueryResult [terms=[Anna, Bob]]
 - QueryResult [terms=[Anna, Anna]]
 - QueryResult [terms=[Anna, Richard]]
 - QueryResult [terms=[Anna, Alice]]
 - QueryResult [terms=[Anna, Josh]]
 - QueryResult [terms=[Richard, Bob]]
 - QueryResult [terms=[Richard, Anna]]
 - QueryResult [terms=[Richard, Richard]]
 - QueryResult [terms=[Richard, Alice]]
 - QueryResult [terms=[Richard, Josh]]
 - QueryResult [terms=[Alice, Bob]]
 - QueryResult [terms=[Alice, Anna]]
 - QueryResult [terms=[Alice, Richard]]
 - QueryResult [terms=[Alice, Alice]]
 - QueryResult [terms=[Alice, Josh]]
 - QueryResult [terms=[Josh, Bob]]
 - QueryResult [terms=[Josh, Anna]]
 - QueryResult [terms=[Josh, Richard]]
 - QueryResult [terms=[Josh, Alice]]
 - QueryResult [terms=[Josh, Josh]]
